xObs,xMean,xMedian,xRMS,xSigma
-59.84999999997946,0.011881001652959425,3.0888277353938118e-06,6.546708688944666e-06,0.03560838778154601
-59.839999999979455,0.011886270698482438,3.0949244835800183e-06,6.559175742921009e-06,0.0356241613627464
-59.82999999997945,0.011891540894350041,3.1010332655299567e-06,6.5716665380504735e-06,0.03563993838256351
-59.819999999979444,0.011896812240562235,3.1071541049957283e-06,6.5841811195430136e-06,0.035655718840997386
-59.80999999997944,0.011902084737119015,3.113287025776313e-06,6.596719532694674e-06,0.03567150273804797
-59.799999999979434,0.011907358384020388,3.1194320517176652e-06,6.609281822887751e-06,0.03568729007371529
-59.78999999997943,0.011912633181266348,3.1255892067128055e-06,6.621868035590967e-06,0.035703080847999356
-59.779999999979424,0.011917909128856895,3.1317585147019132e-06,6.634478216359617e-06,0.035718875060900136
-59.76999999997942,0.011923186226792034,3.137939999672421e-06,6.647112410835752e-06,0.03573467271241766
-59.759999999979414,0.011928464475071763,3.1441336856591054e-06,6.659770664748334e-06,0.035750473802551926
-59.74999999997941,0.011933743873696076,3.1503395967441834e-06,6.672453023913402e-06,0.03576627833130291
-59.7399999999794,0.01193902442266498,3.156557757057404e-06,6.685159534234243e-06,0.035782086298670635
-59.7299999999794,0.011944306121978478,3.1627881907761424e-06,6.6978902417015495e-06,0.03579789770465509
-59.71999999997939,0.01194958897163656,3.169030922125494e-06,6.710645192393598e-06,0.03581371254925629
-59.70999999997939,0.011954872971639233,3.175285975378375e-06,6.723424432476401e-06,0.035829530832474206
-59.69999999997938,0.011960158121986496,3.1815533748555946e-06,6.736228008203888e-06,0.035845352554308874
-59.68999999997938,0.011965444422678348,3.1878331449259795e-06,6.749055965918066e-06,0.035861177714760266
-59.67999999997937,0.011970731873714785,3.194125310006452e-06,6.761908352049183e-06,0.03587700631382838
-59.66999999997937,0.011976020475095814,3.2004298945621268e-06,6.7747852131159075e-06,0.03589283835151323
-59.65999999997936,0.011981310226821433,3.206746923106405e-06,6.7876865957254854e-06,0.03590867382781483
-59.64999999997936,0.01198660112889164,3.2130764202010736e-06,6.800612546573919e-06,0.03592451274273316
-59.63999999997935,0.011991893181306435,3.2194184104563984e-06,6.813563112446123e-06,0.03594035509626821
-59.62999999997935,0.011997186384065819,3.2257729185312187e-06,6.82653834021611e-06,0.03595620088842
-59.61999999997934,0.012002480737169793,3.232139969133047e-06,6.839538276847146e-06,0.03597205011918853
-59.60999999997934,0.012007776240618355,3.2385195870181587e-06,6.852562969391927e-06,0.03598790278857379
-59.59999999997933,0.012013072894411508,3.2449117969916952e-06,6.865612464992751e-06,0.036003758896575776
-59.58999999997933,0.012018370698549248,3.2513166239077567e-06,6.878686810881681e-06,0.036019618443194505
-59.57999999997932,0.012023669653031581,3.2577340926694997e-06,6.891786054380725e-06,0.03603548142842996
-59.569999999979316,0.012028969757858499,3.2641642282292332e-06,6.904910242901999e-06,0.03605134785228215
-59.55999999997931,0.012034271013030005,3.270607055588514e-06,6.918059423947908e-06,0.03606721771475106
-59.549999999979306,0.012039573418546104,3.2770625997982564e-06,6.93123364511131e-06,0.03608309101583673
-59.5399999999793,0.01204487697440679,3.283530885958798e-06,6.944432954075689e-06,0.03609896775553913
-59.529999999979296,0.012050181680612063,3.2900119392200376e-06,6.95765739861533e-06,0.03611484793385824
-59.51999999997929,0.012055487537161931,3.2965057847815072e-06,6.970907026595495e-06,0.0361307315507941
-59.509999999979286,0.012060794544056385,3.3030124478924766e-06,6.984181885972586e-06,0.036146618606346693
-59.49999999997928,0.012066102701295427,3.309531953852053e-06,6.997482024794332e-06,0.036162509100516015
-59.489999999979275,0.012071412008879059,3.316064328009277e-06,7.010807491199951e-06,0.036178403033302074
-59.47999999997927,0.012076722466807278,3.322609595763221e-06,7.024158333420328e-06,0.036194300404704866
-59.469999999979265,0.01208203407508009,3.3291677825630915e-06,7.037534599778199e-06,0.03621020121472439
-59.45999999997926,0.012087346833697487,3.3357389139083235e-06,7.050936338688309e-06,0.03622610546336064
-59.449999999979255,0.012092660742659475,3.3423230153486827e-06,7.0643635986575965e-06,0.036242013150613636
-59.43999999997925,0.012097975801966051,3.3489201124843643e-06,7.077816428285375e-06,0.03625792427648336
-59.429999999979245,0.012103292011617221,3.355530230966092e-06,7.091294876263492e-06,0.036273838840969824
-59.41999999997924,0.012108609371612972,3.3621533964952162e-06,7.104798991376527e-06,0.036289756844073005
-59.409999999979235,0.012113927881953318,3.3687896348238176e-06,7.118328822501947e-06,0.03630567828579294
-59.39999999997923,0.012119247542638255,3.3754389717548054e-06,7.131884418610299e-06,0.03632160316612959
-59.389999999979224,0.012124568353667774,3.3821014331420154e-06,7.145465828765375e-06,0.03633753148508298
-59.37999999997922,0.012129890315041884,3.388777044890321e-06,7.159073102124402e-06,0.0363534632426531
-59.369999999979214,0.012135213426760584,3.3954658329557057e-06,7.172706287938209e-06,0.036369398438839955
-59.35999999997921,0.012140537688823876,3.4021678233454036e-06,7.186365435551412e-06,0.03638533707364356
-59.349999999979204,0.012145863101231754,3.4088830421179733e-06,7.2000505944025906e-06,0.03640127914706388
-59.3399999999792,0.012151189663984222,3.415611515383408e-06,7.213761814024466e-06,0.03641722465910093
-59.329999999979194,0.012156517377081278,3.4223532693032342e-06,7.227499144044078e-06,0.03643317360975472
-59.31999999997919,0.012161846240522923,3.4291083300906167e-06,7.241262634182973e-06,0.03644912599902524
-59.30999999997918,0.012167176254309159,3.4358767240104577e-06,7.2550523342573755e-06,0.03646508182691251
